Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,22,0,0.01,0.4,0.0365911
2,Intensity 2,22,0,0.1,0.4,0.00185937
3,Intensity 3,22,0,0.12,0.4,0.00141759
4,Intensity 4,22,0,0.14,0.4,0.00112176
5,Intensity 5,22,0,0.16,0.4,0.000912618
6,Intensity 6,22,0,0.18,0.4,0.000758612
7,Intensity 7,22,0,0.2,0.4,0.000641534
8,Intensity 8,22,0,0.22,0.4,0.00055022
9,Intensity 9,22,0,0.24,0.4,0.000477486
10,Intensity 10,22,0,0.26,0.4,0.000418522
11,Intensity 11,22,0,0.28,0.4,0.000369999
12,Intensity 12,22,0,0.3,0.4,0.00032955
13,Intensity 13,22,0,0.32,0.4,0.000295452
14,Intensity 14,22,0,0.34,0.4,0.000266421
15,Intensity 15,22,0,0.36,0.4,0.000241489
16,Intensity 16,22,0,0.38,0.4,0.000219909
17,Intensity 17,22,0,0.4,0.4,0.000201099
18,Intensity 18,22,0,0.5,0.4,0.000135336
19,Intensity 19,22,0,0.6,0.4,9.70679e-05
20,Intensity 20,22,0,0.7,0.4,7.28231e-05
21,Intensity 21,22,0,0.8,0.4,5.64987e-05
22,Intensity 22,22,0,0.9,0.4,4.49916e-05
23,Intensity 23,22,0,1,0.4,3.65839e-05
24,Intensity 24,22,0,1.1,0.4,3.02611e-05
25,Intensity 25,22,0,1.2,0.4,2.53917e-05
26,Intensity 26,22,0,1.5,0.4,1.60319e-05
27,Intensity 27,22,0,2,0.4,8.66892e-06
28,Intensity 28,22,0,3,0.4,3.48417e-06
29,Intensity 29,22,0,4,0.4,1.76335e-06
30,Intensity 30,22,0,5,0.4,1.01815e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22
2,Story Drift Ratio,2,1,0.00324776,0.00343457,0.00292265,0.00350423,0.00268733,0.00296969,0.00386284,0.00238955,0.00267779,0.00397079,0.00377501,0.00371157,0.00291386,0.00371539,0.00245256,0.00291038,0.00290321,0.00252328,0.00346359,0.00265291,0.0023355,0.00381595
2,Story Drift Ratio,2,2,0.00286936,0.00353736,0.00320116,0.00283645,0.00348373,0.0032304,0.00264951,0.00409175,0.00463647,0.00268674,0.00288751,0.00238846,0.00299477,0.00281446,0.00448854,0.00283059,0.00334371,0.00328673,0.00287109,0.00297493,0.00345553,0.00314446
2,Story Drift Ratio,3,1,0.00310488,0.00336848,0.00283759,0.0034894,0.00261673,0.00284735,0.00385836,0.00230052,0.00260752,0.00395008,0.00374753,0.00364437,0.00294369,0.00370686,0.00236302,0.00283276,0.00279634,0.00237131,0.00343035,0.00258081,0.00233975,0.00382314
2,Story Drift Ratio,3,2,0.0028219,0.00352637,0.0031928,0.00278492,0.00341435,0.0031545,0.002693,0.00404293,0.0045571,0.00267036,0.00289839,0.00236103,0.00298136,0.00277356,0.00436014,0.00279532,0.00323552,0.00323851,0.00285999,0.00289828,0.0033803,0.00304699
2,Story Drift Ratio,4,1,0.00307373,0.00340893,0.00284988,0.00355874,0.0026331,0.00288106,0.0039474,0.002284,0.00266945,0.00403367,0.00382078,0.00368267,0.0030527,0.0037964,0.00248264,0.00285323,0.00278842,0.00239806,0.00349469,0.00260375,0.00241425,0.00391381
2,Story Drift Ratio,4,2,0.00286304,0.00362597,0.00327617,0.00283399,0.00345047,0.0031813,0.00283017,0.00408889,0.00459945,0.00273644,0.0030206,0.00240584,0.00304653,0.00282555,0.00436723,0.00284498,0.00324204,0.00328239,0.00289969,0.00292297,0.00340228,0.0030453
2,Story Drift Ratio,5,1,0.00289149,0.00320957,0.00264672,0.00333385,0.00245676,0.00272971,0.00371624,0.00209696,0.00256694,0.00380897,0.00358973,0.00343583,0.00292362,0.00360162,0.00240377,0.00265904,0.00256513,0.00224757,0.0032938,0.00242579,0.00230486,0.00370731
2,Story Drift Ratio,5,2,0.00268733,0.0034595,0.00310206,0.00266821,0.00322202,0.00296548,0.00276417,0.00384534,0.00427305,0.002592,0.00292968,0.00226413,0.00287436,0.00266273,0.00403611,0.00268759,0.00300167,0.00310519,0.00274172,0.00273384,0.00316174,0.00280769
2,Story Drift Ratio,6,1,0.00267446,0.00296111,0.00240201,0.00305001,0.00224961,0.00252291,0.00340952,0.0018843,0.00240139,0.00350287,0.00329405,0.00312473,0.00271211,0.00332972,0.0022456,0.00242142,0.00231022,0.00208317,0.00302399,0.00220703,0.00214042,0.00341929
2,Story Drift Ratio,6,2,0.00245984,0.00323398,0.00284993,0.00244956,0.00293255,0.00269664,0.00261449,0.00352964,0.00386419,0.00240465,0.00276355,0.00207598,0.00263917,0.00246535,0.0036363,0.00253164,0.00271856,0.00289227,0.00256682,0.00249572,0.00286786,0.00253219
