Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
3,Story Drift Ratio,6,1,0.0011896,0.00118792,0.00118868,0.00119103,0.00118924,0.00118822,0.00118816,0.00118983,0.00118902,0.00118829
3,Story Drift Ratio,6,2,0.00147445,0.0014792,0.00147231,0.00147553,0.001474,0.00147941,0.00147303,0.00147535,0.00147621,0.00147943
3,Story Drift Ratio,7,1,0.0011928,0.00119099,0.00118924,0.00119088,0.00119023,0.00119196,0.00119144,0.00119133,0.00119107,0.00119205
3,Story Drift Ratio,7,2,0.00155303,0.00155226,0.00154908,0.00155256,0.00155067,0.00155028,0.00155006,0.00155058,0.00154957,0.00155183
3,Story Drift Ratio,8,1,0.00114633,0.00114702,0.00114367,0.00114752,0.00114762,0.00114826,0.0011465,0.00114547,0.00114525,0.00114533
3,Story Drift Ratio,8,2,0.00152103,0.00152311,0.00152136,0.00152169,0.0015216,0.00152197,0.00152076,0.0015191,0.00152069,0.00152082
3,Story Drift Ratio,9,1,0.000867837,0.000867881,0.000866836,0.000866538,0.00086897,0.000866965,0.000868451,0.000867514,0.00086815,0.000866361
3,Story Drift Ratio,9,2,0.00115747,0.00115995,0.00115619,0.00115652,0.00115733,0.00115909,0.00115709,0.00115697,0.00115747,0.0011584
3,Acceleration,1,1,0.0908764,0.0906597,0.0908161,0.0908418,0.0908605,0.0907566,0.0908337,0.0907456,0.0908742,0.0909122
3,Acceleration,1,2,0.0942208,0.0941372,0.0943164,0.094054,0.0940182,0.0940369,0.0940874,0.0942606,0.094184,0.0940663
3,Acceleration,2,1,0.059132,0.0590561,0.0591344,0.0590617,0.0592334,0.0591159,0.0590519,0.0591629,0.0591227,0.0591744
3,Acceleration,2,2,0.0604096,0.0604058,0.0604289,0.0605343,0.0605631,0.0604759,0.0604135,0.0605671,0.0605427,0.0606444
3,Acceleration,3,1,0.0520203,0.0520905,0.0520272,0.0520821,0.0520115,0.0520158,0.0520268,0.0519402,0.051971,0.0520527
3,Acceleration,3,2,0.0634006,0.063271,0.0632942,0.0632442,0.0633296,0.0632959,0.0633775,0.0634182,0.0634572,0.0633161
3,Acceleration,4,1,0.0450255,0.0451483,0.0450879,0.0450441,0.0450676,0.0451037,0.0450968,0.0451114,0.0451599,0.0451442
3,Acceleration,4,2,0.0582937,0.0582755,0.0583725,0.0583077,0.0583132,0.0582617,0.0583943,0.05834,0.0584525,0.0583824
3,Acceleration,5,1,0.0407099,0.0407358,0.040647,0.0406118,0.0408429,0.0406525,0.0407234,0.0407631,0.0407022,0.0407095
3,Acceleration,5,2,0.0500453,0.0499178,0.0500774,0.0500367,0.0500907,0.0498673,0.0499211,0.0499204,0.0499842,0.050009
