Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
2,Acceleration,2,2,0.0492648,0.0491862,0.0491738,0.0492125,0.0492274,0.049282,0.0493271,0.0492595,0.0492959,0.049145
2,Acceleration,3,1,0.0388179,0.0388433,0.038779,0.038784,0.0387548,0.0387932,0.0388566,0.0388429,0.0388252,0.0389172
2,Acceleration,3,2,0.0503156,0.0503522,0.0503386,0.050374,0.0504411,0.0503228,0.050325,0.0503565,0.0503095,0.0502823
2,Acceleration,4,1,0.0370155,0.0369768,0.036992,0.0369462,0.0369398,0.0369454,0.0369697,0.0370263,0.0368998,0.0369192
2,Acceleration,4,2,0.0484886,0.0484934,0.0484563,0.0484498,0.0485297,0.0485328,0.0484589,0.0484878,0.0484414,0.0484502
2,Acceleration,5,1,0.0360757,0.0360815,0.0360911,0.0361289,0.0360703,0.0360276,0.036023,0.036077,0.0360493,0.035999
2,Acceleration,5,2,0.0461813,0.0462168,0.0461212,0.0461211,0.0460923,0.0460921,0.0460766,0.0460127,0.0460394,0.0461361
2,Acceleration,6,1,0.0348062,0.0347955,0.0347624,0.0348563,0.0347978,0.034783,0.0348035,0.0348142,0.0348669,0.0348734
2,Acceleration,6,2,0.044983,0.0449763,0.0450115,0.045096,0.045026,0.045077,0.0450067,0.0450966,0.0450783,0.0451231
2,Acceleration,7,1,0.0389957,0.0388966,0.0389096,0.0389946,0.0389915,0.0389264,0.0389414,0.038928,0.0389294,0.0389854
2,Acceleration,7,2,0.0497647,0.0497248,0.0496877,0.0498416,0.049805,0.0497645,0.0497805,0.0497782,0.0497721,0.0496856
2,Acceleration,8,1,0.0371742,0.0371842,0.0371298,0.0371964,0.0372001,0.0371675,0.0371285,0.0370879,0.0371855,0.0371412
2,Acceleration,8,2,0.0611935,0.0612457,0.0612307,0.0611253,0.0611973,0.0612212,0.0611854,0.0611461,0.0611932,0.0610291
