
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, 40.0
Rrup Max (km):, 200.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Northridge-01
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
37, SRSS, 1038, -, 1.0, -, 7.8, 13.8, 0.3, "Northridge-01", 1994, "Montebello - Bluff Rd.", 6.69, Reverse, 43.22, 45.03, 316.01, 0.125, 1.0, RSN1038_NORTHR_BLF206.AT2, RSN1038_NORTHR_BLF296.AT2 , RSN1038_NORTHR_BLF-UP.AT2  
38, SRSS, 1040, -, 1.0, -, 8.5, 14.0, 0.1, "Northridge-01", 1994, "Mt Baldy - Elementary Sch", 6.69, Reverse, 71.3, 71.47, 444.74, 0.3, 1.0, RSN1040_NORTHR_BAL090.AT2, RSN1040_NORTHR_BAL180.AT2 , RSN1040_NORTHR_BAL-UP.AT2  
39, SRSS, 1043, -, 1.0, -, 13.1, 26.3, 0.1, "Northridge-01", 1994, "Neenach - Sacatara Ck", 6.69, Reverse, 51.61, 51.85, 337.63, 0.12, 1.0, RSN1043_NORTHR_NEE090.AT2, RSN1043_NORTHR_NEE180.AT2 , RSN1043_NORTHR_NEE-UP.AT2  
40, SRSS, 1046, -, 1.0, -, 12.5, 22.0, 0.1, "Northridge-01", 1994, "Newport Bch - Irvine Ave. F.S", 6.69, Reverse, 83.01, 85.49, 339.6, 0.2, 1.0, RSN1046_NORTHR_NBI000.AT2, RSN1046_NORTHR_NBI090.AT2 , RSN1046_NORTHR_NBI-UP.AT2  
41, SRSS, 1047, -, 1.0, -, 8.9, 25.1, 0.1, "Northridge-01", 1994, "Newport Bch - Newp & Coast", 6.69, Reverse, 82.03, 84.54, 340.65, 0.12, 1.0, RSN1047_NORTHR_NEW090.AT2, RSN1047_NORTHR_NEW180.AT2 , RSN1047_NORTHR_NEW-UP.AT2  
42, SRSS, 1053, -, 1.0, -, 9.5, 18.0, 0.1, "Northridge-01", 1994, "Palmdale - Hwy 14 & Palmdale", 6.69, Reverse, 41.37, 41.67, 551.56, 0.2, 1.0, RSN1053_NORTHR_PHP000.AT2, RSN1053_NORTHR_PHP270.AT2 , RSN1053_NORTHR_PHP-UP.AT2  
43, SRSS, 1056, -, 1.0, -, 12.0, 28.4, 0.1, "Northridge-01", 1994, "Phelan - Wilson Ranch", 6.69, Reverse, 85.75, 85.9, 333.41, 0.2, 1.0, RSN1056_NORTHR_PHE090.AT2, RSN1056_NORTHR_PHE180.AT2 , RSN1056_NORTHR_PHE-UP.AT2  
44, SRSS, 1058, -, 1.0, -, 5.8, 10.3, 0.6, "Northridge-01", 1994, "Point Mugu - Laguna Peak", 6.69, Reverse, 36.61, 41.93, 527.7, 0.375, 1.0, RSN1058_NORTHR_PTM000.AT2, RSN1058_NORTHR_PTM090.AT2 , RSN1058_NORTHR_PTM-UP.AT2  
45, SRSS, 1059, -, 1.0, -, 10.5, 24.3, 0.2, "Northridge-01", 1994, "Port Hueneme - Naval Lab.", 6.69, Reverse, 47.58, 51.78, 248.98, 0.14, 1.0, RSN1059_NORTHR_PTH090.AT2, RSN1059_NORTHR_PTH180.AT2 , RSN1059_NORTHR_PTH-UP.AT2  
46, SRSS, 1060, -, 1.0, -, 11.0, 15.4, 0.1, "Northridge-01", 1994, "Rancho Cucamonga - Deer Can", 6.69, Reverse, 79.83, 79.99, 509.1, 0.3, 1.0, RSN1060_NORTHR_CUC090.AT2, RSN1060_NORTHR_CUC180.AT2 , RSN1060_NORTHR_CUC-UP.AT2  
47, SRSS, 1061, -, 1.0, -, 8.1, 14.5, 0.1, "Northridge-01", 1994, "Rancho Palos Verdes - Hawth", 6.69, Reverse, 48.02, 52.18, 580.03, 0.3, 1.0, RSN1061_NORTHR_RAN000.AT2, RSN1061_NORTHR_RAN090.AT2 , RSN1061_NORTHR_RAN-UP.AT2  
48, SRSS, 1062, -, 1.0, -, 6.6, 13.1, 0.2, "Northridge-01", 1994, "Rancho Palos Verdes - Luconia", 6.69, Reverse, 50.47, 54.45, 508.83, 0.375, 1.0, RSN1062_NORTHR_LUC005.AT2, RSN1062_NORTHR_LUC095.AT2 , RSN1062_NORTHR_LUC-UP.AT2  
49, SRSS, 1064, -, 1.0, -, 6.2, 12.0, 0.0, "Northridge-01", 1994, "Riverside Airport", 6.69, Reverse, 98.83, 98.95, 389.95, 0.3, 1.0, RSN1064_NORTHR_RIV180.AT2, RSN1064_NORTHR_RIV270.AT2 , RSN1064_NORTHR_RIV-UP.AT2  
50, SRSS, 1065, -, 1.0, -, 6.9, 18.2, 0.2, "Northridge-01", 1994, "Rolling Hills Est-Rancho Vista", 6.69, Reverse, 44.89, 49.32, 473.25, 0.3, 1.0, RSN1065_NORTHR_RHE090.AT2, RSN1065_NORTHR_RHE360.AT2 , RSN1065_NORTHR_RHE-UP.AT2  
51, SRSS, 1066, -, 1.0, -, 12.0, 19.7, 0.1, "Northridge-01", 1994, "Rosamond - Airport", 6.69, Reverse, 64.6, 64.8, 320.75, 0.3, 1.0, RSN1066_NORTHR_RMA000.AT2, RSN1066_NORTHR_RMA090.AT2 , RSN1066_NORTHR_RMA-UP.AT2  
52, SRSS, 1067, -, 1.0, -, 9.7, 15.2, 0.1, "Northridge-01", 1994, "San Bernardino - CSUSB Gr", 6.69, Reverse, 103.04, 103.16, 336.92, 0.3, 1.0, RSN1067_NORTHR_BER000.AT2, RSN1067_NORTHR_BER090.AT2 , RSN1067_NORTHR_BER-UP.AT2  
53, SRSS, 1069, -, 1.0, -, 9.4, 16.8, 0.1, "Northridge-01", 1994, "San Bernardino - E & Hospitality", 6.69, Reverse, 108.18, 108.29, 296.97, 0.2, 1.0, RSN1069_NORTHR_HOS090.AT2, RSN1069_NORTHR_HOS180.AT2 , RSN1069_NORTHR_HOS-UP.AT2  
54, SRSS, 1071, -, 1.0, -, 11.9, 28.5, 0.1, "Northridge-01", 1994, "San Jacinto - CDF Fire Station", 6.69, Reverse, 147.47, 147.55, 306.76, 0.16, 1.0, RSN1071_NORTHR_CDF000.AT2, RSN1071_NORTHR_CDF090.AT2 , RSN1071_NORTHR_CDF-UP.AT2  
55, SRSS, 1073, -, 1.0, -, 7.0, 13.4, 0.1, "Northridge-01", 1994, "San Pedro - Palos Verdes", 6.69, Reverse, 53.24, 57.03, 477.92, 0.3, 1.0, RSN1073_NORTHR_SAP000.AT2, RSN1073_NORTHR_SAP090.AT2 , RSN1073_NORTHR_SAP-UP.AT2  
56, SRSS, 1074, -, 1.0, -, 7.4, 15.9, 0.1, "Northridge-01", 1994, "Sandberg - Bald Mtn", 6.69, Reverse, 41.26, 41.56, 421.0, 0.12, 1.0, RSN1074_NORTHR_SAN090.AT2, RSN1074_NORTHR_SAN180.AT2 , RSN1074_NORTHR_SAN-UP.AT2  
57, SRSS, 1075, -, 1.0, -, 13.9, 25.5, 0.2, "Northridge-01", 1994, "Santa Barbara - UCSB Goleta", 6.69, Reverse, 107.2, 109.13, 312.98, 0.2, 1.0, RSN1075_NORTHR_SBG000.AT2, RSN1075_NORTHR_SBG090.AT2 , RSN1075_NORTHR_SBG-UP.AT2  
58, SRSS, 1076, -, 1.0, -, 7.5, 14.8, 0.4, "Northridge-01", 1994, "Santa Fe Springs - E.Joslin", 6.69, Reverse, 48.06, 50.22, 339.06, 0.125, 1.0, RSN1076_NORTHR_EJS030.AT2, RSN1076_NORTHR_EJS120.AT2 , RSN1076_NORTHR_EJS-UP.AT2  
59, SRSS, 1079, -, 1.0, -, 12.2, 18.7, 0.2, "Northridge-01", 1994, "Seal Beach - Office Bldg", 6.69, Reverse, 61.46, 64.76, 296.62, 0.16, 1.0, RSN1079_NORTHR_SEA000.AT2, RSN1079_NORTHR_SEA090.AT2 , RSN1079_NORTHR_SEA-UP.AT2  
60, SRSS, 1088, -, 1.0, -, 6.3, 14.2, 0.5, "Northridge-01", 1994, "Terminal Island - S Seaside", 6.69, Reverse, 53.43, 57.2, 260.6, 0.15, 1.0, RSN1088_NORTHR_SSE240.AT2, RSN1088_NORTHR_SSE330.AT2 , RSN1088_NORTHR_SSE-UP.AT2  
61, SRSS, 1090, -, 1.0, -, 9.7, 18.0, 0.1, "Northridge-01", 1994, "Tustin - E Sycamore", 6.69, Reverse, 81.66, 83.72, 303.09, 0.375, 1.0, RSN1090_NORTHR_SYC135.AT2, RSN1090_NORTHR_SYC225.AT2 , RSN1090_NORTHR_SYC-UP.AT2  
62, SRSS, 1092, -, 1.0, -, 22.2, 39.0, 0.2, "Northridge-01", 1994, "Ventura - Harbor & California", 6.69, Reverse, 54.28, 58.0, 358.95, 0.25, 1.0, RSN1092_NORTHR_VEN090.AT2, RSN1092_NORTHR_VEN360.AT2 , RSN1092_NORTHR_VEN-UP.AT2  
63, SRSS, 1093, -, 1.0, -, 9.5, 16.1, 0.1, "Northridge-01", 1994, "Villa Park - Serrano Ave", 6.69, Reverse, 76.38, 77.56, 416.93, 0.125, 1.0, RSN1093_NORTHR_SER000.AT2, RSN1093_NORTHR_SER270.AT2 , RSN1093_NORTHR_SER-UP.AT2  
64, SRSS, 1094, -, 1.0, -, 10.7, 19.7, 0.1, "Northridge-01", 1994, "West Covina - S Orange Ave", 6.69, Reverse, 51.46, 51.7, 334.69, 0.075, 1.0, RSN1094_NORTHR_SOR225.AT2, RSN1094_NORTHR_SOR315.AT2 , RSN1094_NORTHR_SOR-UP.AT2  
65, SRSS, 1095, -, 1.0, -, 7.5, 13.9, 0.1, "Northridge-01", 1994, "Whittier - S. Alta Dr", 6.69, Reverse, 48.36, 49.1, 511.83, 0.5, 1.0, RSN1095_NORTHR_SAL000.AT2, RSN1095_NORTHR_SAL090.AT2 , RSN1095_NORTHR_SAL-UP.AT2  
66, SRSS, 1096, -, 1.0, -, 10.0, 18.4, 0.1, "Northridge-01", 1994, "Wrightwood - Jackson Flat", 6.69, Reverse, 64.46, 64.66, 662.7, 0.24, 1.0, RSN1096_NORTHR_WWJ090.AT2, RSN1096_NORTHR_WWJ180.AT2 , RSN1096_NORTHR_WWJ-UP.AT2  
67, SRSS, 1097, -, 1.0, -, 13.5, 20.1, 0.0, "Northridge-01", 1994, "Wrightwood - Nielson Ranch", 6.69, Reverse, 81.54, 81.69, 506.0, 0.24, 1.0, RSN1097_NORTHR_WWN090.AT2, RSN1097_NORTHR_WWN180.AT2 , RSN1097_NORTHR_WWN-UP.AT2  
68, SRSS, 1098, -, 1.0, -, 12.6, 19.8, 0.1, "Northridge-01", 1994, "Wrightwood - Swarthout", 6.69, Reverse, 71.51, 71.69, 476.64, 0.3, 1.0, RSN1098_NORTHR_WRI090.AT2, RSN1098_NORTHR_WRI180.AT2 , RSN1098_NORTHR_WRI-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
