
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 55.0
Rrup Max (km):, 80.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
49, SRSS, 1555, -, 1.0, -, 11.2, 21.7, 0.3, "Chi-Chi_ Taiwan", 1999, "TCU147", 7.62, Reverse Oblique, 70.61, 71.27, 537.92, 0.025, 1.0, RSN1555_CHICHI_TCU147-E.AT2, RSN1555_CHICHI_TCU147-N.AT2 , RSN1555_CHICHI_TCU147-V.AT2  
50, SRSS, 1557, -, 1.0, -, 22.2, 34.2, 0.2, "Chi-Chi_ Taiwan", 1999, "TTN001", 7.62, Reverse Oblique, 52.9, 56.56, 484.6, 0.0375, 1.0, RSN1557_CHICHI_TTN001-N.AT2, RSN1557_CHICHI_TTN001-W.AT2 , RSN1557_CHICHI_TTN001-V.AT2  
51, SRSS, 1558, -, 1.0, -, 23.6, 36.8, 0.0, "Chi-Chi_ Taiwan", 1999, "TTN002", 7.62, Reverse Oblique, 65.74, 68.71, 667.36, 0.0375, 1.0, RSN1558_CHICHI_TTN002-N.AT2, RSN1558_CHICHI_TTN002-W.AT2 , RSN1558_CHICHI_TTN002-V.AT2  
52, SRSS, 1560, -, 1.0, -, 30.5, 44.6, 0.1, "Chi-Chi_ Taiwan", 1999, "TTN004", 7.62, Reverse Oblique, 63.81, 66.87, 463.59, 0.05, 1.0, RSN1560_CHICHI_TTN004-N.AT2, RSN1560_CHICHI_TTN004-W.AT2 , RSN1560_CHICHI_TTN004-V.AT2  
53, SRSS, 1569, -, 1.0, -, 17.7, 32.9, 0.1, "Chi-Chi_ Taiwan", 1999, "TTN014", 7.62, Reverse Oblique, 60.3, 63.53, 533.97, 0.0375, 1.0, RSN1569_CHICHI_TTN014-E.AT2, RSN1569_CHICHI_TTN014-N.AT2 , RSN1569_CHICHI_TTN014-V.AT2  
54, SRSS, 1572, -, 1.0, -, 23.2, 36.9, 0.0, "Chi-Chi_ Taiwan", 1999, "TTN018", 7.62, Reverse Oblique, 71.72, 74.45, 573.04, 0.025, 1.0, RSN1572_CHICHI_TTN018-E.AT2, RSN1572_CHICHI_TTN018-N.AT2 , RSN1572_CHICHI_TTN018-V.AT2  
55, SRSS, 1576, -, 1.0, -, 26.3, 38.8, 0.0, "Chi-Chi_ Taiwan", 1999, "TTN024", 7.62, Reverse Oblique, 56.58, 60.01, 671.52, 0.025, 1.0, RSN1576_CHICHI_TTN024-E.AT2, RSN1576_CHICHI_TTN024-N.AT2 , RSN1576_CHICHI_TTN024-V.AT2  
56, SRSS, 1577, -, 1.0, -, 23.7, 36.7, 0.1, "Chi-Chi_ Taiwan", 1999, "TTN025", 7.62, Reverse Oblique, 62.67, 65.79, 704.96, 0.025, 1.0, RSN1577_CHICHI_TTN025-E.AT2, RSN1577_CHICHI_TTN025-N.AT2 , RSN1577_CHICHI_TTN025-V.AT2  
57, SRSS, 1578, -, 1.0, -, 20.9, 35.4, 0.0, "Chi-Chi_ Taiwan", 1999, "TTN026", 7.62, Reverse Oblique, 67.42, 70.33, 573.04, 0.025, 1.0, RSN1578_CHICHI_TTN026-E.AT2, RSN1578_CHICHI_TTN026-N.AT2 , RSN1578_CHICHI_TTN026-V.AT2  
58, SRSS, 1579, -, 1.0, -, 27.0, 39.1, 0.1, "Chi-Chi_ Taiwan", 1999, "TTN027", 7.62, Reverse Oblique, 73.45, 76.13, 428.95, 0.0375, 1.0, RSN1579_CHICHI_TTN027-E.AT2, RSN1579_CHICHI_TTN027-N.AT2 , RSN1579_CHICHI_TTN027-V.AT2  
